,,,,name_handle,,subscribers,1 post reach,citation index
3 032.3,,drop,,#VALUE!,,citation index,Подъём200 735 subscribersNews and media,subscribers
citation index,,drop,,#VALUE!,,#16,200 735,41.5k
#16,#ERROR!,drop,,#VALUE!,,Подъём200 735 subscribersNews and media,subscribers,1 post reach
Подъём200 735 subscribersNews and media,https://tgstat.ru/en/channel/@pdmnews/stat,https://tgstat.ru/en/channel/,pdmnews/stat,pdmnews,stat,200 735,41.5k,2 948.6
200 735,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,#ERROR!,drop,,#VALUE!,,41.5k,2 948.6,#17
41.5k,,drop,,#VALUE!,,1 post reach,citation index,Новости Москвы1 317 107 subscribersNews and media
1 post reach,,drop,,#VALUE!,,2 948.6,#17,1 317 107
2 948.6,,drop,,#VALUE!,,citation index,Новости Москвы1 317 107 subscribersNews and media,subscribers
citation index,#ERROR!,drop,,#VALUE!,,#17,1 317 107,634.5k
#17,,drop,,#VALUE!,,Новости Москвы1 317 107 subscribersNews and media,subscribers,1 post reach
Новости Москвы1 317 107 subscribersNews and media,https://tgstat.ru/en/channel/@moscowmap/stat,https://tgstat.ru/en/channel/,moscowmap/stat,moscowmap,stat,1 317 107,634.5k,2 860.8
1 317 107,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,634.5k,2 860.8,#18
634.5k,,drop,,#VALUE!,,1 post reach,citation index,360tv139 062 subscribersNews and media
1 post reach,#ERROR!,drop,,#VALUE!,,2 860.8,#18,139 062
2 860.8,,drop,,#VALUE!,,citation index,360tv139 062 subscribersNews and media,subscribers
citation index,,drop,,#VALUE!,,#18,139 062,34.1k
#18,#ERROR!,drop,,#VALUE!,,360tv139 062 subscribersNews and media,subscribers,1 post reach
360tv139 062 subscribersNews and media,https://tgstat.ru/en/channel/@tv360/stat,https://tgstat.ru/en/channel/,tv360/stat,tv360,stat,139 062,34.1k,2 749.8
139 062,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,#ERROR!,drop,,#VALUE!,,34.1k,2 749.8,#19
34.1k,,drop,,#VALUE!,,1 post reach,citation index,Комсомольская правда: KP.RU196 638 subscribersNews and media
1 post reach,,drop,,#VALUE!,,2 749.8,#19,196 638
2 749.8,,drop,,#VALUE!,,citation index,Комсомольская правда: KP.RU196 638 subscribersNews and media,subscribers
citation index,,drop,,#VALUE!,,#19,196 638,48.5k
#19,,drop,,#VALUE!,,Комсомольская правда: KP.RU196 638 subscribersNews and media,subscribers,1 post reach
Комсомольская правда: KP.RU196 638 subscribersNews and media,https://tgstat.ru/en/channel/@truekpru/stat,https://tgstat.ru/en/channel/,truekpru/stat,truekpru,stat,196 638,48.5k,2 670.1
196 638,,drop,,#VALUE!,,subscribers,1 post reach,citation index
subscribers,,drop,,#VALUE!,,48.5k,2 670.1,#20
48.5k,,drop,,#VALUE!,,1 post reach,citation index,Коммерсантъ256 003 subscribersNews and media
1 post reach,#ERROR!,drop,,#VALUE!,,2 670.1,#20,256 003
2 670.1,,drop,,#VALUE!,,citation index,Коммерсантъ256 003 subscribersNews and media,subscribers
citation index,,drop,,#VALUE!,,#20,256 003,55.4k
#20,#ERROR!,drop,,#VALUE!,,Коммерсантъ256 003 subscribersNews and media,subscribers,1 post reach
Коммерсантъ256 003 subscribersNews and media,https://tgstat.ru/en/channel/@kommersant/stat,https://tgstat.ru/en/channel/,kommersant/stat,kommersant,stat,256 003,55.4k,2 657.3
