,id,date,from_id,to_id,fwd_from,message,type,duration
257,2293476,2022-11-18 13:02:40+00:00,PeerUser(user_id=1375540336),PeerChannel(channel_id=1234644047),,"Так если поднять родословную европейцев и прибалтов которые у власти, то они все потомки нацистов, внуки и правнуки, того же Шольца посмотрите кем дед был",text,
258,2293475,2022-11-18 13:02:33+00:00,PeerUser(user_id=470813715),PeerChannel(channel_id=1234644047),,"Это же Херсон на днях , не?",text,
259,2293473,2022-11-18 13:02:21+00:00,PeerUser(user_id=1150023353),PeerChannel(channel_id=1234644047),,"Фу бля смотреть противно, пойду лучше на Мерседесе в магаз съезжу",text,
260,2293466,2022-11-18 13:00:54+00:00,PeerUser(user_id=2141387170),PeerChannel(channel_id=1234644047),,"Там ""я"" лишняя!",text,
261,2293463,2022-11-18 13:00:43+00:00,PeerUser(user_id=291265972),PeerChannel(channel_id=1234644047),,По-моему это не Киев,text,
262,2293459,2022-11-18 13:00:31+00:00,PeerUser(user_id=426077399),PeerChannel(channel_id=1234644047),,"о, да. встреча ""освободителей"" была знатная. только ""освободители"" за 20 дней вывезли все самое ценное и разграбили город...",text,
263,2293457,2022-11-18 13:00:22+00:00,PeerUser(user_id=5154173331),PeerChannel(channel_id=1234644047),,Генетика,text,
264,2293455,2022-11-18 13:00:16+00:00,PeerUser(user_id=392473520),PeerChannel(channel_id=1234644047),,Удар по зеленскому убьёт мирных......,text,
265,2293451,2022-11-18 12:59:48+00:00,PeerUser(user_id=5167844891),PeerChannel(channel_id=1234644047),,"Жалеть ли этот «мирняк», зная что они есть и чем они всегда были?",text,
266,2293449,2022-11-18 12:59:24+00:00,PeerUser(user_id=1055865165),PeerChannel(channel_id=1234644047),,"Админ заебись ты так в говницо, всех макнул, осуждаю",text,
267,28400,2022-11-18 12:53:21+00:00,,PeerChannel(channel_id=1387701698),,,photo,
